nama_produk;brand;sub_kategori;jenis_kulit;finish_type;benefit;gambar
SKINTIFIC Invisiblur All Day Loose Powder;SKINTIFIC;Powder;All Skin Type;Matte;12H Oil Control, Pore Blurring, Makeup Setting;pw_skintific.jpeg
O.TWO.O 3D Soft Focus Face Powder;O.TWO.O;Powder;Oily;Matte;Waterproof, 24H Oil Control, Hydrating, Pore Blurring, Fine Line Blurring;pw_otwo.jpeg
Implora Day, Day Two Way Cake;IMPLORA;Powder;Dry, Normal, Combination;Natural;Lightweight, Pore Blurring, Long Lasting, Medium to High Coverage;pw_imp_twc.jpeg
Sea Makeup Acne Cover Smooth Two Way Cake;SEA MAKEUP;Powder;Acne-Prone, Oily, Dry;Matte;High Coverage, 24H Long Lasting, Pore Blurring, Acne Care;pw_sea_c.jpeg
Hanasui Perfect Fit Setting Powder;HANASUI;Powder;Oily, Normal, Combination;Natural;Oil Control, Vitamin E Infused, Anti-Pollution, Lightweight, Natural Coverage;pw_hanasui.jpeg
Luxcrime Blur & Cover Two Way Cake Powder;LUXCRIME;Powder;Dry, Normal;Dewy,Glow;Buildable Coverage, All-Day Long Lasting, Flawless Dry Skin Base, Pore Blurring;pw_lux.jpeg
Pixy Airy Stay Two Way Cake Filter Free;PIXY ;Powder;Normal, Combination, Oily;Natural;Lightweight, UV Protection (SPF 30 PA+++), Long Lasting, Pore Blurring;pw_pixy.jpeg
Pinkflash OhMySelf Matte Loose Powder;PINKFLASH;Powder;Oily;Matte;Oil Control, Waterproof, Sweatproof,Long Lasting, Lightweight;pw_pf.jpeg
Pigeon Teens Acne Ranger Loose Powder;PIGEON;Powder;Acne-Prone, Oily;Natural, Matte;Oil Control, Lightweight, Acne Soothing, Jojoba & Chamomile Protection;pw_pigeon.jpeg
Barbie x Dazzle Me Better Than Filter HD Invisible Powder;DAZZLE ME;Powder;Oily, Combination;Matte;24H Dual Oil Control, Texture Smoothing, Pore Blurring, Fine Line Blurring, Weightless;pw_dazzle_i.jpeg
Glad2Glow Perfect Blur Cover Loose Powder;GLAD2GLOW;Powder;Oily, Combination, Normal;Matte;Makeup Setting, Oil Control, Pore Blurring, Air Blurry Technology, Extra Flawless Coverage, Hydrating;pw_g2g_l.jpeg
Dazzle Me Better Than Filter Double Kill TWC;DAZZLE ME;Powder;Oily;Matte;Long Wear, Fast Oil Fix, Waterproof, 12H Long Lasting, High Coverage;pw_dazzle_c.jpeg
Implora Rose 3in1 Compact Powder Foundation;IMPLORA;Powder;Normal, Combination;Natural;3in1 Multi-functional, Long Lasting, Imperfection Concealing;pw_imp.jpeg
Focallure Oil Control Loose Powder ;FOCALLURE;Powder;Oily;Matte;Oil Control, 12H Long Lasting, Waterproof, Sweatproof, Makeup Setting;pw_foc_l.jpeg
Focallure Oil Control Pressed Powder;FOCALLURE;Powder;Oily, Combination;Matte;Fast Oil Control, Long Lasting, Pore Blurring, Texture Smoothing;pw_foc.jpeg
Inez Color Contur Plus Face Powder;INEZ;Powder;Normal, Combination;Matte, Natural;UV Protection, Oil Control, Lightweight;pw_inez.jpeg
Dazzle Me Acne Armor Cover & Correct Skin Tint;Dazzle Me;Skin Tint;Acne-Prone, Oily;Matte;12H Long Lasting, 3X Soothing Boost, Oil Control, UV Filter, Weightless;st_dazzle.jpeg
Madame Gie Veil Cover Foundation;MADAM GIE;Foundation;All Skin Type;Matte;High Coverage, Blur Imperfections, Long Lasting, Lightweight;f_mg.jpeg
Wardah Luminous Liquid Foundation;WARDAH;Foundation;All Skin Types;Matte;Lightweight, Long Lasting, UV Protection (SPF 15);f_wardah_l.jpeg
Goute Liquid Foundation Full Coverage;GOUTE;Foundation;All Skin Types;Matte;Full Coverage, Waterproof, 24H Long Lasting, Anti-Crack;f_gt.jpeg
MOP So X-Tra Hybrid Matte Foundation;MOP;Foundation;All Skin Types;Matte;UV Protection (SPF 40 PA++), Full Coverage, Lightweight;f_mop.jpeg
Barenbliss Bloomatte Stay Confident 2-in-1 Foundation;BARENBLISS;Foundation;All Skin Types;Matte;16H Long Lasting, Waterproof, UV Protection (SPF 50+ PA+++), 2-in-1 Dual Function;f_bnb.jpeg
Focallure Bare Multi-Effect Skin Tint;FOCALLURE;Skin Tint;All Skin Types;Natural ;Lightweight, Breathable Coverage, UV Protection (SPF 30 PA+++), Multi-Effect Base;st_foc.jpeg
Implora Even Better Liquid Foundation;IMPLORA;Foundation;All Skin Types;Natural, Matte;Natural Cover, Skin Lightening, Dark Spot Concealing, Weightless Blend;f_imp.jpeg
Pinkflash Lasting Matte Foundation;PINKFLASH;Foundation;Oily, Combination;Matte;Full Coverage, Oil Control, Super Long Lasting, Blur Imperfections;f_pf.jpeg
Implora Healthy Glow Cushion;IMPLORA;Cushion;All Skin Types;Glow;Lightweight, Hydrating, UV Protection, Dark Spot Concealing;c_imp.jpeg
Etude Cloud Filter Cushion;ETUDE;Cushion;All Skin Types;Matte;UV Protection (SPF 42 PA++), Long Lasting, Smooth Texture, Weightless Formula;c_etude.jpeg
Hanasui Next Level Coverlock Powder Foundation;HANASUI;Powder;All Skin Types;Matte;4X Oil Control, Porefect Blur, Flawless Looking, Long Lasting;pw_hanasui_c.jpeg
Becoming Bare Matte Ultra Cover Skin Tint;BECOMING;Skin Tint;All Skin Types;Matte;Ultra Cover, Buildable Medium Coverage, Lightweight Daily Base, UV Protection (SPF 40 PA+++);st_bc.jpeg
Becoming Bare Matte HD Cushion Foundation;BECOMING;Cushion;Oily, Sensitive;Matte;12H Long Lasting, Medium to High Coverage, Lightweight;c_bc.jpeg
Goute Cushion Cover Plus;GOUTE;Cushion;All Skin Types;Dewy;Dewy Flawless, Low Oxidation, Lightweight, Long Lasting;c_gt.jpeg
Nuface Flawless Serum Cushion;NUFACE;Cushion;All Skin Types;Dewy;Serum Formula, UV Protection (SPF 30 PA++), Lightweight, Medium to High Coverage;c_nuface.jpeg
MAKE OVER Hydrastay Glow Fluid;MAKE OVER;Foundation;Dry;Glow;Deep Hydrating, Medium Coverage, SPF 30 PA+++;f_makeover_g.jpeg
