nama_produk;brand;sub_kategori;jenis_kulit;finish_type;benefit;gambar
BNB barenbliss Bloomdew Inner Light Serum Tint;BARENBLISS;Skin Tint;All Skin Types, Acne-Prone;Dewy;24H Breathable Wear, Lightweight, Pore-Blurring, Oil Control, Hydrating, SPF 50 PA+++, Non-Comedogenic, Dermatologically Tested;st_bnb.jpeg
Rose All Day The Realest Lightweight Skin Tint ;ROSE ALL DAY;Skin Tint;All Skin Types;Natural;Light-to-Medium Buildable Coverage, Ultra-Lightweight, Pore-Blurring, Long Lasting, Water-Resistant, Transferproof, Anti-Pollutant, SPF 35 PA++, Non-Comedogenic, Dermatologically Tested;st_roseallday2.jpeg
YOU Cloud Touch 3% Niacinamide Acne Defense Skin Tint;YOU Beauty;Skin Tint;Oily, Acne-Prone;Matte;3% Niacinamide, 24H Long Wear, Perfect Coverage, Oil Control, Centella Asiatica, SPF 50 PA+++;st_you_a.jpeg
YOU Cloud Touch 3% Niacinamide Brightening Skin Tint;YOU Beauty;Skin Tint;All Skin Types;Natural;3% Niacinamide, 24H Long Wear, Natural Glow, Lightweight, Medium Buildable Coverage, SPF 50 PA+++;st_you_b.jpeg
GLAD2GLOW Perfect Blurring Powder ;GLAD2GLOW ;Powder;All Skin Types;Matte;Buildable Medium-to-High Coverage, Soft-Focus Blurring, Pore-Blurring, Oil Control, Lightweight, Breathable, Squalane, Vitamin E;pw_g2g.jpeg
Sea Makeup Acne Blur and Set Loose Powder;SEA MAKEUP;Powder;Acne-Prone;Matte;Micro Powder, Salicylic Acid, Witch Hazel, Acne Care, Oil Control, Pore-Blurring, Non-Comedogenic, Fungal Acne Safe;pw_seamakeup.jpeg
Judydoll Two Way Cake;JUDYDOLL;Powder;All Skin Types, Acne-Prone;Matte;24H Matte & Blur Finish, Oil Control, SPF 50+ PA+++, Light-Diffusing Powder, Skin Barrier Shield;pw_judydoll.jpeg
DAZZLE ME Better Than Filter Fixed Loose Powder ;DAZZLE ME;Powder;All Skin Types;Matte;12H Long Wear, Filter-Like Cover, Instant Excess Oil Fix;pw_dazzleme.jpeg
WARDAH TWC Colorfit Velvet Powder Foundation;WARDAH ;Powder;All Skin Types;Matte;Medium-to-High Buildable Coverage, 12H Long Lasting, Oil Control, Pore-Blurring, SPF 20 PA+++, CICA, Non-Comedogenic, Non-Acnegenic, Dermatologically Tested;pw_wardah.jpeg
WARDAH Loose Powder Lightening Matte Powder;WARDAH;Powder;All Skin Types;Matte;Microbright Formula, Oil Control, Brightening, Licorice Extract, Lightweight;pw_w_l.jpeg
OMG Oh My Glam Coverlast Two Way Cake;OMG;Powder;All Skin Types;Matte;12H Long Lasting, Oil Control, SPF 20 PA+++;pw_omg.jpeg
SKINTIFIC Invisiblur All Day Loose Powder;SKINTIFIC;Powder;All Skin Types;Matte;16H Long Lasting, 16H Oil Control, Pore-Blurring, Fine-Line Blurring, Lightweight, Makeup Setting;pw_skintific.jpeg
O.TWO.O 3D Soft Focus Face Powder;O.TWO.O;Powder;All Skin Types;Matte;Waterproof, 24H Oil Control, Hydrating, Pore-Blurring, Fine-Line Blurring;pw_otwo.jpeg
Implora Day, Day Two Way Cake;IMPLORA;Powder;Dry, Normal, Combination;Natural;Lightweight, Pore-Blurring, Long Lasting, Medium-to-High Coverage;pw_imp_twc.jpeg
Sea Makeup Acne Cover Smooth Two Way Cake;SEA MAKEUP;Powder;Acne-Prone;Matte;Medium-to-Full Coverage, 12H Long Lasting, Oil Control, Pore-Blurring, Blemish & Acne Scar Coverage, Salicylic Acid, Niacinamide, Safflower;pw_sea_c.jpeg
Hanasui Perfect Fit Setting Powder;HANASUI;Powder;Oily, Normal, Combination;Natural;Oil Control, Vitamin E, Anti-Pollution, Lightweight, Natural Coverage;pw_hanasui.jpeg
Luxcrime Blur & Cover Two Way Cake Powder - Silk Glow;LUXCRIME;Powder;All Skin Types;Glow;Buildable Coverage, Pore-Blurring, Smooth Texture, UV Protection, Radiant Finish;pw_lux.jpeg
Pixy Airy Stay Two Way Cake Filter Free;PIXY ;Powder;All Skin Types;Natural;Lightweight/Airy Feeling, Pore-Blurring, 2X Oil Control, Buildable Coverage, Brightening Effect, UV Protection;pw_pixy.jpeg
Pinkflash OhMySelf Matte Loose Powder;PINKFLASH;Powder;All Skin Types;Matte;Oil Control, Waterproof, Sweatproof, Long Lasting, Lightweight;pw_pf.jpeg
Pigeon Teens Acne Ranger Loose Powder;PIGEON;Powder;Oily, Acne-Prone;Matte;Oil Control, Acne Care, Lightweight;pw_pigeon.jpeg
Barbie x Dazzle Me Better Than Filter HD Invisible Powder;DAZZLE ME;Powder;All Skin Types;Matte;24H Dual Oil Control, Pore-Blurring, Fine-Line Blurring, Smooth Matte Finish, Invisible Powderless Formula, Niacinamide, Zinc PCA, 5X Phyto-Soothing Complexion;pw_dazzle_i.jpeg
Glad2Glow Perfect Blur Cover Loose Powder;GLAD2GLOW;Powder;All Skin Types;Matte;Makeup Setting, Pore-Blurring, 12H Oil Control, Ultra-Lightweight, Air Blurry Technology, Non-Drying;pw_g2g_l.jpeg
Dazzle Me Better Than Filter Double Kill TWC;DAZZLE ME;Powder;All Skin Types;Matte;12H Long Lasting, High Coverage, Fast Oil Fix, Long Wear, Silky Powder, Makeup Setting;pw_dazzle_c.jpeg
Implora Rose 3in1 Compact Powder Foundation;IMPLORA;Powder;All Skin Types;Natural;Medium-to-High Coverage, Buildable Coverage, Lightweight, Easy to Blend, 3-in-1 Compact Powder & Foundation;pw_imp.jpeg
Focallure Oil Control Loose Powder ;FOCALLURE;Powder;All Skin Types;Matte;Up to 24H Waterproof & Sweatproof, Oil Control, Makeup Setting, Lightweight, Pore-Blurring, Fine-Line Blurring;pw_foc_l.jpeg
Focallure Oil Control Pressed Powder;FOCALLURE;Powder;All Skin Types;Matte;Oil Control, Long Lasting, Lightweight, Smooth Finish;pw_foc.jpeg
Inez Color Contur Plus Face Powder;INEZ;Powder;All Skin Types;Natural;UV Protection, Lightweight, Natural Finish;pw_inez.jpeg
Dazzle Me Acne Armor Cover & Correct Skin Tint;Dazzle Me;Skin Tint;All Skin Types, Acne-Prone;Matte;12H Long Lasting, Medium Coverage, Lightweight, Encapsulated Salicylic Acid + AHA, 3X Soothing Boost, UV Filter;st_dazzle.jpeg
Madame Gie Veil Cover Foundation;MADAM GIE;Foundation;All Skin Types;Matte;13H Long Lasting, High Coverage, Lightweight, Waterproof, Transferproof, Golden Chamomile & Panthenol;f_mg.jpeg
Wardah Luminous Liquid Foundation;WARDAH;Foundation;All Skin Types;Matte;Skin-Like to High Coverage, Airy-Coated Particles, Advance Niacinamide, SPF 40 PA+++, Blue Light Protection;f_wardah_l.jpeg
Goute Liquid Foundation Full Coverage;GOUTE;Foundation;All Skin Types;Matte;Full Coverage, Waterproof, 24H Long Lasting, Anti-Crack;f_gt.jpeg
MOP So X-Tra Hybrid Matte Foundation;MOP;Foundation;All Skin Types;Matte;SPF 40 PA++, Full Coverage, Lightweight, Peptide Infused;f_mop.jpeg
Barenbliss Bloomatte Stay Confident 2-in-1 Foundation;BARENBLISS;Foundation;All Skin Types;Matte;16H Long Lasting, High Coverage, Lightweight, 2-in-1 Foundation & Concealer;f_bnb.jpeg
Focallure Bare Multi-Effect Skin Tint;FOCALLURE;Skin Tint;All Skin Types;Natural;Lightweight, Breathable Coverage, SPF 30 PA+++, Long Lasting, Waterproof, Multi-Effect Base;st_foc.jpeg
Implora Even Better Liquid Foundation;IMPLORA;Foundation;All Skin Types;Matte;Weightless, Buildable Coverage, Pore-Blurring, Dark Spot Concealing, Aloe Vera, Pearl Extract, Caviar Extract, Collagen;f_imp.jpeg
Pinkflash Lasting Matte Foundation;PINKFLASH;Foundation;Oily, Combination;Matte;Full Coverage, Oil Control, Super Long Lasting, Blur Imperfections;f_pf.jpeg
Implora Healthy Glow Cushion;IMPLORA;Cushion;Dry, Normal, Combination;Glow;Hydrating, Lightweight, Long Lasting, Pore-Blurring, Fine-Line Blurring, Hyaluronic Acid, UV Protection, Medium-to-High Coverage;c_imp.jpeg
Etude Cloud Filter Cushion;ETUDE;Cushion;All Skin Types;Matte;24H Long Lasting, SPF 42 PA+++, Smooth Texture, Weightless Formula, Anti-Wrinkle;c_etude.jpeg
Hanasui Next Level Coverlock Powder Foundation;HANASUI;Powder;All Skin Types;Matte;4X Oil Balance Actives, Pore-Blurring, Soft-Focus Effect, Medium-to-Full Buildable Coverage, Lightweight, 8H Long Lasting, 8H Shine Control, UV Protection, Non-Comedogenic, Dermatologically Tested;pw_hanasui_c.jpeg
Becoming Bare Matte Ultra Cover Skin Tint;BECOMING;Skin Tint;All Skin Types;Matte;SPF 40 PA+++, Buildable Medium Coverage, Lightweight, Daily Base, Dermatologically Tested, Fragrance Free;st_bc.jpeg
Becoming Bare Matte HD Cushion Foundation;BECOMING;Cushion;Oily, Combination;Matte;12H Long Lasting, Medium-to-High Coverage, Lightweight, Soft Blur Filter Finish;c_bc.jpeg
Goute Cushion Cover Plus;GOUTE;Cushion;All Skin Types;Dewy;Dewy Flawless, Low Oxidation, Lightweight, Long Lasting;c_gt.jpeg
Nuface Flawless Serum Cushion;NUFACE;Cushion;All Skin Types;Dewy;Serum Formula, SPF 30 PA++, Lightweight, Medium-to-High Coverage;c_nuface.jpeg
MAKE OVER Hydrastay Glow Fluid;MAKE OVER;Foundation;Dry;Glow;24H Deep Hydrating, Medium-to-High Buildable Coverage, SPF 30 PA+++, Water Burst Technology;f_makeover_g.jpeg
